threshold,accuracy,balanced_accuracy,f1_macro,recall_safe,recall_unsafe
0.185,0.71661,0.550687607885458,0.5089607565520688,0.995615185152813,0.10576003061810295
0.19,0.71728,0.5519119893976095,0.5112552464351555,0.995352970311453,0.10847100848376602
0.195,0.71781,0.5530084089223697,0.5133829412629939,0.9949305130670396,0.11108630477769982
0.2,0.71834,0.5540095334338195,0.5152606103489099,0.9946682982256796,0.11335076864195956
0.205,0.71873,0.554839380042737,0.5168676088004573,0.9943186784371996,0.11536008164827455
0.21,0.71921,0.5557607699110791,0.5185894834741961,0.9940564635958395,0.11746507622631881
0.215,0.71984,0.5569213637087446,0.5207191181809867,0.9937942487544795,0.12004847866300951
0.22,0.72035,0.5579685630102053,0.5226959483794594,0.9934009264924395,0.12253619952797092
0.225,0.72089,0.5591069190126716,0.5248481156300644,0.9929347667744661,0.1252790712508771
0.23,0.7213,0.5600119753939733,0.5265703308624345,0.9925123095300528,0.12751164125789374
0.235,0.722,0.5612841976919895,0.5288467170138217,0.9922500946886927,0.13031830069528608
0.24,0.72245,0.5622097258726362,0.5305561973303092,0.9919004749002127,0.13251897684505964
0.245,0.72287,0.5630960764504465,0.5321967215110944,0.991536287620546,0.134655865280347
0.25,0.72331,0.5640836263497256,0.5340432453347487,0.991055560411386,0.13711169228806533
0.255,0.72395,0.5652515038929843,0.5360961692723152,0.9908079130612126,0.13969509472475602
0.26,0.72431,0.5660854888142064,0.5376497467153862,0.9903708883256126,0.14180008930280028
0.265,0.72474,0.5669964495036666,0.5393029253653011,0.9899921335547592,0.14400076545257384
0.27,0.72526,0.5680855852828334,0.5412634002280494,0.9895551088191592,0.14661606174650763
0.275,0.72564,0.5689514640612986,0.5428446692473551,0.9891180840835592,0.14878484403903808
0.28,0.72612,0.5699161698447818,0.5445459897796573,0.9887830317862658,0.15104930790329782
0.285,0.72647,0.5706822287392131,0.5459189711061551,0.9884334119977858,0.15293104548064043
0.29,0.72695,0.5717249031699503,0.5477752527803634,0.9879672522798124,0.15548255406008804
0.295,0.72744,0.5726882295159985,0.549441034424774,0.9876613349648924,0.15771512406710467
0.3,0.72773,0.5735145441332083,0.5509738679607041,0.9870495003350523,0.1599795879313644
0.305,0.72817,0.5745973890457978,0.5529195021873079,0.986408530722839,0.16278624736875677
0.31,0.72858,0.5755370981592124,0.5545745463556738,0.9859278035136789,0.1651463928047458
0.315,0.72865,0.5760818858109739,0.5556639199581975,0.9851994289543455,0.1669643426676022
0.32,0.72917,0.5771883479561972,0.557563193064289,0.9847332692363722,0.1696434266760222
0.325,0.72967,0.5782629162441774,0.5594011292723614,0.9842671095183987,0.17225872296995598
0.33,0.72986,0.5789037720260871,0.5605738672745975,0.9836989773621186,0.1741085666900555
0.335,0.73013,0.5796548768709128,0.5619058161656406,0.9831599801882119,0.17614977355361358
0.34,0.73052,0.5806060080422253,0.5635477925377186,0.9826064155231186,0.1786056005613319
0.345,0.73091,0.5815484760305095,0.5651630024460245,0.9820674183492119,0.1810295337118071
0.35,0.73131,0.5824809013983306,0.5667422270705877,0.9815721236488651,0.18338967914779614
0.355,0.73157,0.5832333856805912,0.5680535870811405,0.9810039914925851,0.1854627798685973
0.36,0.73215,0.584444192580572,0.5700415405734026,0.9805232642834251,0.18836512087771895
0.365,0.7325,0.5853055464883137,0.5714895718160342,0.9800134020918917,0.1905976908847356
0.37,0.73285,0.58619288994514,0.5729802578674351,0.9794598374267983,0.19292594246348152
0.375,0.73323,0.5872320323841694,0.5747343112995748,0.9787314628674649,0.19573260190087388
0.38,0.73347,0.588039254639469,0.5761224390371735,0.9780176557993182,0.19806085347961983
0.385,0.73358,0.5888037673002245,0.5774995164762502,0.9770270663986248,0.20058046820182432
0.39,0.73387,0.5897253769307448,0.5790536924386165,0.9762549893657314,0.20319576449575813
0.395,0.73411,0.5905499255521008,0.5804464363576403,0.9755120473152114,0.20558780378899025
